"","GSM4452207_ctrl1","GSM4452208_ctrl2","GSM4452209_ctrl3","GSM4452210_ctrl4","GSM4452211_k10_1","GSM4452212_k10_2","GSM4452213_k10_3","GSM4452214_k10_4","GSM4452215_k20_1","GSM4452216_k20_2","GSM4452217_k20_3","GSM4452230_30_4","GSM4452218_k20_4","GSM4452229_30_3","GSM4452228_30_2","GSM4452227_30_1","GSM4452226_15_4","GSM4452225_15_3","GSM4452224_15_2","GSM4452223_15_1","GSM4452221_0_3","GSM4452222_0_4","GSM4452219_0_1","GSM4452220_0_2"
"ENSMUSG00000027381.13",5.24778901377144,5.18809796361754,5.12164490908552,5.27315567771552,5.21949808761856,5.05781946815376,5.02024803085688,5.19003440083228,18.9315685693242,3.9731517926191,4.34951475562013,-6.9093761404188,4.12196120855884,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027384.6",3.03318301882083,3.11234391686376,3.11320689704686,2.97595246611747,3.07775480396241,3.32168420209157,3.21187418436898,3.2247801171768,18.9315685693242,3.9731517926191,3.6781375030815,2.90600715539473,3.47148646832868,3.25272200250118,4.13298753790675,3.39402163057076,3.01126403683723,3.40865132752719,3.29302707483067,3.20962329645307,3.34493226069402,3.30060743404043,3.32168881519756,3.32777850687215
"ENSMUSG00000027386.6",-0.548844190875774,0.184317224003019,0.127641987310428,-0.282781802282702,-0.385834440148539,-0.558885115360994,-0.502906556839134,-0.237886245059797,18.9315685693242,3.9731517926191,-1.87321660499683,-6.9093761404188,-1.26010777238295,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027387.11",1.86839086410732,2.23037900629238,2.27612981809045,1.9809130270192,1.95429825011641,2.13211902277049,2.25544646474447,2.09822078499733,18.9315685693242,3.9731517926191,2.81254653651181,2.27301821298572,2.70286637063358,2.68189960672675,2.93905065731363,2.73570371277861,2.88826172034679,1.97019536656913,1.95312854129123,1.94296717672894,1.86829591269708,1.70904974450398,1.84638835872023,1.57903574492959
"ENSMUSG00000027394.10",4.77572056945622,4.75034220399429,4.60495252605622,4.70976752678901,4.711696097512,4.65452807445811,4.49884890276609,4.73003378394628,18.9315685693242,5.55811429334026,4.737613981495,-6.9093761404188,4.58368598790053,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027395.12",4.66060917475318,4.59435583469296,4.52723657578811,4.63306475259446,4.64180831492059,4.54217802793652,4.51513100269059,4.62009475006777,18.9315685693242,6.29507988750647,5.35103899774912,-6.9093761404188,5.14836541878685,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027397.11",5.49394960104084,5.56372866258484,5.47519476599849,5.46356640437435,5.45426906424878,5.48883958271612,5.4473558160223,5.4345390969117,18.9315685693242,5.55811429334026,6.20106572530848,-6.9093761404188,6.05228463715003,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027399.1",-2.44696457685656,-2.94221518192591,-4.3706088802174,-2.26701448642439,-2.90368274501116,-2.3540653234725,-4.44776500264667,-3.40781124650211,18.9315685693242,3.9731517926191,-1.47728792866569,-3.20893642227771,-1.94599918195489,-2.10817732389902,-5.30094558249374,-2.40653772997799,-0.990374458558526,-1.8737884774792,-4.98154521083083,-3.10813716421906,-3.73797709426949,-4.89086309768314,-4.96525392174047,-4.35170159263329
"ENSMUSG00000027404.12",7.16724331478937,7.11369987583531,7.20804684976856,7.08469295449766,7.15615330625703,7.25901992487678,7.35450900812604,7.21413885652028,18.9315685693242,8.06061463386944,7.76617170871194,-6.9093761404188,7.57184134438089,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027405.13",6.72909521075785,6.80854762426928,6.78661171905001,6.70665168816071,6.83517719144375,6.92493066190326,6.88751368402282,6.86196479802753,18.9315685693242,7.4325834112564,7.577886029446,-6.9093761404188,7.47322824492004,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
